Distance_km,Bed_Elevation_m,Latitude,Longitude
2.250267789149202446e+00,-6.647600154346072259e+02,7.289016030371638522e+01,-5.476849614700716984e+01
2.285428230670889516e+00,-6.662581142851053073e+02,7.289016261719559964e+01,-5.476956640936804632e+01
2.320588672405652364e+00,-6.683271364489930875e+02,7.289016492478964437e+01,-5.477063667202214958e+01
2.355749114353444362e+00,-6.703507052878450168e+02,7.289016722649851943e+01,-5.477170693496874776e+01
2.390909556512797352e+00,-6.723906266600397430e+02,7.289016952232221058e+01,-5.477277719820706636e+01
2.426069998884123002e+00,-6.744591750393148004e+02,7.289017181226070363e+01,-5.477384746173638774e+01
2.461230441466438101e+00,-6.766726779079245944e+02,7.289017409631401279e+01,-5.477491772555595162e+01
2.496390884258996135e+00,-6.790220239209572810e+02,7.289017637448213804e+01,-5.477598798966500482e+01
2.531551327261739370e+00,-6.813881119083515614e+02,7.289017864676506520e+01,-5.477705825406281548e+01
2.566711770473456333e+00,-6.837709418701086861e+02,7.289018091316280845e+01,-5.477812851874861622e+01
2.601872213894561359e+00,-6.861531026445794623e+02,7.289018317367536781e+01,-5.477919878372168938e+01
2.637032657523339818e+00,-6.884293374051912906e+02,7.289018542830270064e+01,-5.478026904898125338e+01
2.672193101360007539e+00,-6.907113377736806115e+02,7.289018767704484958e+01,-5.478133931452658345e+01
2.707353545404023620e+00,-6.929991037500593620e+02,7.289018991990180041e+01,-5.478240958035693353e+01
2.742513989654864925e+00,-6.952926353343241317e+02,7.289019215687352471e+01,-5.478347984647155755e+01
2.777674434111576218e+00,-6.973426424688112775e+02,7.289019438796006511e+01,-5.478455011286969523e+01
2.812834878773826208e+00,-6.993122138972685207e+02,7.289019661316136478e+01,-5.478562037955060759e+01
2.847995323641141052e+00,-7.012792052190641243e+02,7.289019883247748055e+01,-5.478669064651354859e+01
2.883155768712957201e+00,-7.032436164342060465e+02,7.289020104590835558e+01,-5.478776091375777213e+01
2.918316213988796370e+00,-7.050619610861044748e+02,7.289020325345403251e+01,-5.478883118128253216e+01
2.953476659468117660e+00,-7.066500017871571799e+02,7.289020545511448290e+01,-5.478990144908708260e+01
2.988637105149927642e+00,-7.082316416180860870e+02,7.289020765088970677e+01,-5.479097171717066317e+01
3.023797551034197895e+00,-7.098068805789005182e+02,7.289020984077971832e+01,-5.479204198553254201e+01
3.058957997120380856e+00,-7.113700976246942673e+02,7.289021202478447492e+01,-5.479311225417197306e+01
3.094118443407744667e+00,-7.126356587778393532e+02,7.289021420290401920e+01,-5.479418252308820314e+01
3.129278889895767968e+00,-7.138942010299737149e+02,7.289021637513833696e+01,-5.479525279228048618e+01
3.164439336583922735e+00,-7.151457243810941691e+02,7.289021854148741397e+01,-5.479632306174807610e+01
3.199599783471680503e+00,-7.163350874425575512e+02,7.289022070195123604e+01,-5.479739333149022684e+01
3.234760230558322736e+00,-7.173558268614317512e+02,7.289022285652984579e+01,-5.479846360150618523e+01
3.269920677843538126e+00,-7.183064143959504690e+02,7.289022500522320058e+01,-5.479953387179521229e+01
3.305081125327284930e+00,-7.192608008675656492e+02,7.289022714803132885e+01,-5.480060414235657618e+01
3.340241573007626918e+00,-7.202189862762734265e+02,7.289022928495418796e+01,-5.480167441318948818e+01
3.375402020885227117e+00,-7.211396414737317855e+02,7.289023141599180633e+01,-5.480274468429323775e+01
3.410562468959331017e+00,-7.219555767821552763e+02,7.289023354114416975e+01,-5.480381495566707173e+01
3.445722917228960291e+00,-7.227732765802612676e+02,7.289023566041129243e+01,-5.480488522731022982e+01
3.480883365694042109e+00,-7.235927408680473718e+02,7.289023777379314595e+01,-5.480595549922198018e+01
3.516043814353607910e+00,-7.244139696455157491e+02,7.289023988128974452e+01,-5.480702577140156251e+01
3.551204263207591971e+00,-7.251369956763119262e+02,7.289024198290107392e+01,-5.480809604384824496e+01
3.586364712255028397e+00,-7.258505735244361858e+02,7.289024407862714838e+01,-5.480916631656126725e+01
3.621525161495394940e+00,-7.265647981223607985e+02,7.289024616846796789e+01,-5.481023658953988331e+01
3.656685610928620989e+00,-7.272796694700825810e+02,7.289024825242350403e+01,-5.481130686278336128e+01
3.691846060553728215e+00,-7.279424910547561467e+02,7.289025033049377100e+01,-5.481237713629094088e+01
3.727006510369988312e+00,-7.285595964621275016e+02,7.289025240267878303e+01,-5.481344741006186894e+01
3.762166960377556713e+00,-7.291760252520366521e+02,7.289025446897851168e+01,-5.481451768409542069e+01
3.797327410575449314e+00,-7.297917774244829161e+02,7.289025652939295696e+01,-5.481558795839083587e+01
3.832487860963161186e+00,-7.303923804498761001e+02,7.289025858392213308e+01,-5.481665823294736839e+01
3.867648311539936490e+00,-7.309193945528852510e+02,7.289026063256602583e+01,-5.481772850776426509e+01
3.902808762305702839e+00,-7.314443845472892463e+02,7.289026267532462100e+01,-5.481879878284079410e+01
3.937969213259274515e+00,-7.319673504330860396e+02,7.289026471219794701e+01,-5.481986905817618805e+01
3.973129664401048533e+00,-7.324882922102774501e+02,7.289026674318597543e+01,-5.482093933376972927e+01
4.008290115729576719e+00,-7.329641100517280847e+02,7.289026876828872048e+01,-5.482200960962064329e+01
4.043450567244292415e+00,-7.334166374635332204e+02,7.289027078750618216e+01,-5.482307988572819113e+01
4.078611018945474065e+00,-7.338445671166414286e+02,7.289027280083834626e+01,-5.482415016209163383e+01
4.113771470832080723e+00,-7.342708149905212167e+02,7.289027480828519856e+01,-5.482522043871021822e+01
4.148931922903845049e+00,-7.346809385425565324e+02,7.289027680984676749e+01,-5.482629071558320533e+01
4.184092375159762511e+00,-7.350690785996273462e+02,7.289027880552302463e+01,-5.482736099270983487e+01
4.219252827599802025e+00,-7.354543134520056356e+02,7.289028079531398419e+01,-5.482843127008937500e+01
4.254413280222734350e+00,-7.358366430996942427e+02,7.289028277921964616e+01,-5.482950154772105833e+01
4.289573733028743341e+00,-7.362164316093148955e+02,7.289028475723999634e+01,-5.483057182560416010e+01
4.324734186016589987e+00,-7.365996743941145724e+02,7.289028672937502051e+01,-5.483164210373791292e+01
4.359894639186495446e+00,-7.369804381628127885e+02,7.289028869562474711e+01,-5.483271238212159204e+01
4.395055092537459629e+00,-7.373587229154065881e+02,7.289029065598917612e+01,-5.483378266075443719e+01
4.430215546069179666e+00,-7.377345286519004048e+02,7.289029261046826491e+01,-5.483485293963570939e+01
4.465375999780694549e+00,-7.381212822317368136e+02,7.289029455906204191e+01,-5.483592321876464837e+01
4.500536453671931447e+00,-7.385125092500176152e+02,7.289029650177049291e+01,-5.483699349814052226e+01
4.535696907741701089e+00,-7.389022026786345805e+02,7.289029843859363211e+01,-5.483806377776256369e+01
4.570857361990168677e+00,-7.392903625175875959e+02,7.289030036953144531e+01,-5.483913405763004789e+01
4.606017816416582811e+00,-7.396858074275984336e+02,7.289030229458393251e+01,-5.484020433774222170e+01
4.641178271020201862e+00,-7.401000297112585713e+02,7.289030421375109370e+01,-5.484127461809833193e+01
4.676338725800955665e+00,-7.405144817461784896e+02,7.289030612703291467e+01,-5.484234489869764673e+01
4.711499180757408034e+00,-7.409291635323581886e+02,7.289030803442940964e+01,-5.484341517953939160e+01
4.746659635889966644e+00,-7.413440750697996009e+02,7.289030993594056440e+01,-5.484448546062284890e+01
4.781820091197664269e+00,-7.417793056348571099e+02,7.289031183156639315e+01,-5.484555574194725835e+01
4.816980546679725528e+00,-7.422171847049131657e+02,7.289031372130686748e+01,-5.484662602351186678e+01
4.852141002335879527e+00,-7.426565766870212428e+02,7.289031560516200159e+01,-5.484769630531593521e+01
4.887301458165851820e+00,-7.430974815811782719e+02,7.289031748313180969e+01,-5.484876658735872468e+01
4.922461914168636099e+00,-7.435025062178591497e+02,7.289031935521626338e+01,-5.484983686963947491e+01
4.957622370343739426e+00,-7.439062948805718634e+02,7.289032122141537684e+01,-5.485090715215743984e+01
4.992782826691089859e+00,-7.443131610614182136e+02,7.289032308172912167e+01,-5.485197743491188760e+01
5.027943283209482139e+00,-7.447231047604041123e+02,7.289032493615752628e+01,-5.485304771790205081e+01
5.063103739898861200e+00,-7.451339811821023886e+02,7.289032678470059068e+01,-5.485411800112719760e+01
5.098264196758238498e+00,-7.455394169753835740e+02,7.289032862735827223e+01,-5.485518828458656770e+01
5.133424653787811209e+00,-7.459476660728524848e+02,7.289033046413061356e+01,-5.485625856827943636e+01
5.168585110986356312e+00,-7.463587284745090074e+02,7.289033229501760047e+01,-5.485732885220503618e+01
